Obj_ID,Obj_name,Obj_desc,Obj_start_year,Obj_end_year,Obj_URL,Obj_img
897.157,Ship:Model,"The bottom half of a ship model made from wood in 1973. It has ""CITY OF TORONTO"" inscribed on it.  It is a model of a ship built in 1840 in Niagara.",1840,1840,https://niagarahistorical.pastperfectonline.com/Webobject/43A8FF6B-E218-4AC5-909B-160004653090,https://s3.amazonaws.com/pastperfectonline/images/museum_74/045/thumbs/897157.jpg
900.301,Dyeing Saucer,"A saucer used for dying silk stockings, gloves, feathers an flowers. A complete set of instructions are located on the top of the saucer. c.1850-1900s",0,0,https://niagarahistorical.pastperfectonline.com/Webobject/0CA75A43-3302-4AD2-8311-117140918205,https://s3.amazonaws.com/pastperfectonline/images/museum_74/037/thumbs/900301.jpg
900.91,Sampler,"A sampler with various letters and numbers stitched on to it with different colors. A sampler is a peice of embroidery made as a demostration of skill in needlework, which often include numbers, letters, figures, motifs and sometimes even the person's name and the date it was made.",0,0,https://niagarahistorical.pastperfectonline.com/Webobject/087D7F47-FAD4-4D36-9437-951613961995,https://s3.amazonaws.com/pastperfectonline/images/museum_74/008/thumbs/90091.jpg
901.112,Sampler,"Fragile and ephemeral, cross-stitch samplers are among the few surviving artefacts of the domestic lives of young girls and women of the fifteenth to nineteenth centuries. As tangible evidence of their daily work, samplers offer a rare glimpse into the concerns and pursuits of our feminine ancestors. Unfortunately, their fragility and sensitivity to light also means they are seldom on display. The Niagara Historical Society has exhibited the samplers from its collection only three times in the past two decades.
This charming and well-balanced sampler, completed by Augusta Stewart at Niagara in March 1834, is one of 29 samplers in the Niagara Historical Society's permanent collection. It is stitched entirely in cross and Algerian eye stitches; its colours of muted green, tan and gold silk are most likely faded from their original, more vivid hues. Bounded with a regular green and gold border, it features three alphabets, two sets of numerals and ten decorative horizontal bands - some stitched over two threads of linen and some over one. There are two spot motifs: a fruit basket (symbol of fertility) and two evergreen trees (symbols of life). It is damaged in five places.
Little is known about Augusta Stewart - her age, her family, whether she remained in Niagara or whether she had any descendants.
The most charming thing about her sampler is the inclusion of two opening verses of the Isaac Watts poem praising the industriousness of bees. ""How skillfully she builds her cell,"" stitched young Augusta in her careful way - neatly demonstrating a prized nineteenth century feminine virtue.",1834,1834,https://niagarahistorical.pastperfectonline.com/Webobject/32F68E17-9BB1-42AF-B2DD-441876154456,https://s3.amazonaws.com/pastperfectonline/images/museum_74/008/thumbs/901112.jpg
902.104,Brick,A orange colored brick that is 10.5cm in height and 21cm in length.,0,0,https://niagarahistorical.pastperfectonline.com/Webobject/EEE8E0A7-14F5-4D2D-B720-023527389820,https://s3.amazonaws.com/pastperfectonline/images/museum_74/038/thumbs/902104.jpg
902.113,Hearing Aid,This hearing aid or ear trumpet was made around 1882. It belonged to Mrs. Sampson and was donated by Miss Minnie Ball. It was cataloged in the Museum in 1907. Mrs. Sampson would have set this on a table and pointed it at the person she intended on listening too. Due to its large size this ear trumpet was probably used for larger gatherings/meetings and would not have been carried around for normal everyday use.A photograph of Minnie Ball can be found in our collection: 988.271.,1882,1882,https://niagarahistorical.pastperfectonline.com/Webobject/316105D1-0446-40F4-AECD-259319633480,https://s3.amazonaws.com/pastperfectonline/images/museum_74/042/thumbs/902113.jpg
902.3,Knife:Butcher,This is a butcher knife made of steel and wood.,0,0,https://niagarahistorical.pastperfectonline.com/Webobject/F8F535F3-857D-47FB-8AC3-122934595110,https://s3.amazonaws.com/pastperfectonline/images/museum_74/029/thumbs/90230.jpg
902.38,Muddler,This is a toddy muddler made of black walnut. It is shaped like baseball bat.,1840,1840,https://niagarahistorical.pastperfectonline.com/Webobject/3965C50A-7783-4DBC-8565-003604757960,https://s3.amazonaws.com/pastperfectonline/images/museum_74/029/thumbs/90238.jpg
902.73,Gavel,"A turned handle and head gavel with circular brass plate attached with screws to the end of the end. The brass plate in inscribed with the words, Gavel, made out of wood from Castle Frank, Govenor Simcoe's Residence York (Toronto) 1794, Presented to M.W. Bro. J. Ross Robertson by Orient Lodge 5th July 1892.""",0,0,https://niagarahistorical.pastperfectonline.com/Webobject/3C10E850-47C9-40D3-9FE7-438174777460,https://s3.amazonaws.com/pastperfectonline/images/museum_74/038/thumbs/90273.jpg
904.42,Vase,"Posy holder, also called a Tussie Mussie. This is a funnel shaped container for holding a flower which would be attached to a dress and, like a perfume, was used to avoid the nasty smells in the street, or whatever the wearer desired. The flower was secured by the pin across the mouth of the holder, and attached to the dress by means of a pin or hook. Sometimes, as in this case, there is a ring on the bottom of the holder which could be used to slip a finger through and be carried in the hand.",1870,1870,https://niagarahistorical.pastperfectonline.com/Webobject/3133F95C-5CDC-4041-878E-602708872680,https://s3.amazonaws.com/pastperfectonline/images/museum_74/031/thumbs/90442-2.jpg
904.44,Padlock,A brass 4-dial combination lock.,0,0,https://niagarahistorical.pastperfectonline.com/Webobject/E858AA5D-F97F-443B-9CEC-459351024755,https://s3.amazonaws.com/pastperfectonline/images/museum_74/024/thumbs/90444.jpg
